Date,Replicate,Treatment,Temperature_C,Salinity,Temperature_spec_C,TA_mmol_kgSW,TCO2_mmol_kgSW,pH_out
5/2/2023,7.5D,7.5,17.2,22.65,23,1698.99,1660.74,7.72
5/2/2023,7.5E,7.5,17.2,22.76,23.07,1710.48,1665.02,7.718
5/2/2023,7.5F,7.5,17.2,22.46,23.04,1702.76,1659.95,7.721
5/2/2023,8D,8,17.1,22.62,23.06,1706.72,1613.79,7.909
5/2/2023,8E,8,17.1,22.68,22.93,1698.63,1615.65,7.893
5/2/2023,8F,8,17.1,22.69,22.92,1701.83,1617.6,7.893
5/2/2023,7C,7,17.1,22.7,22.94,1703.55,1684.39,7.617
5/2/2023,7E,7,17.1,22.67,22.99,1703.5,1669.35,7.693
5/2/2023,7F,7,17.1,22.68,22.93,1705.37,1675.92,7.659
5/9/2023,7.5D,7.5,16.3,26.13,23.07,1912.88,1851.35,7.78
5/9/2023,7.5E,7.5,16.3,26.12,23.11,1906.94,1851.67,7.78
5/9/2023,7.5F,7.5,16.3,26.11,23.03,1905.91,1848.62,7.777
5/9/2023,8D,8,16.2,26.06,23.24,1902.24,1801.02,7.942
5/9/2023,8E,8,16.2,26.2,22.91,1907.54,1799.16,7.939
5/9/2023,8F,8,16.3,26.14,22.91,1903.51,1790.47,7.969
5/9/2023,7C,7,16.3,26.11,23,1903.76,1872.55,7.688
5/9/2023,7E,7,16.2,26.13,23,1906.62,1873.71,7.691
5/9/2023,7F,7,16.3,26.13,23.01,1904.3,1883.53,7.65
5/16/2023,7.5D,7.5,17.1,25.7,22.62,1904.7,1859.72,7.75
5/16/2023,7.5E,7.5,17.1,25.9,22.57,1908.03,1856.73,7.761
5/16/2023,7.5F,7.5,17.1,25.84,22.64,1905.38,1854.66,7.756
5/16/2023,8D,8,16.9,26.02,22.64,1900.82,1807.18,7.908
5/16/2023,8E,8,17,26,22.23,1904.56,1805.09,7.93
5/16/2023,8F,8,17,25.94,22.65,1901.05,1799.17,7.92
5/16/2023,7C,7,17,26.01,22.65,1910.8,1902.49,7.625
5/16/2023,7E,7,17,25.87,22.69,1906.75,1891.18,7.696
5/16/2023,7F,7,17,26,22.59,1899.67,1866.35,7.765
