##BLOCKS= 1          ,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate#1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,562,1,12,96,1,8,None
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
,22.5,2.2132,2.3278,0.084,0.0831,2.817,3.0375,2.6323,2.7424,2.1396,2.1089,2.4296,2.3112,,,,,,,,
,,1.7194,1.7759,3.6897,3.5278,1.8782,2.1895,3.2164,3.8745,2.1958,1.8509,1.9668,2.167,,,,,,,,
,,1.2278,1.3222,2.331,2.351,4,4,3.3759,4,2.7414,2.8339,2.4806,2.6731,,,,,,,,
,,1.0008,1.044,1.5234,1.4063,2.237,1.7873,1.4002,1.0316,1.6968,1.5587,1.9596,2.248,,,,,,,,
,,0.7398,0.7712,2.4976,2.4577,3.2563,2.8179,3.1445,2.6827,2.8559,3.4224,2.1008,2.1945,,,,,,,,
,,0.4317,0.4569,3.4891,3.3553,2.2098,2.0025,2.0958,1.888,1.3114,1.8082,2.5551,2.7682,,,,,,,,
,,0.2772,0.2877,2.2207,2.1967,2.5228,2.543,2.4638,2.4351,1.4367,1.3455,4,4,,,,,,,,
,,0.1332,0.1322,1.5344,1.9293,3.6503,4,2.5643,2.1424,2.2521,2.3458,2.4679,2.6918,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,
