"","Day","pCO2_history","pCO2_exposure","Scallop_ID","mean_MDA_µmol","mean_TotalProtein_ug","MDA_µmol_µg_protein"
"1",1,"low","low",1,79.9289520426288,57.2279851361399,0.698337988420224
"2",1,"low","low",4,51.2433392539965,42.7028580280385,0.599998941761115
"3",1,"low","low",7,350.88809946714,67.2923834849852,2.60719030368001
"4",1,"low","low",8,92.1847246891652,77.6653791556668,0.593473731097075
"5",1,"low","low",9,189.964476021314,39.4098439592225,2.41011454165958
"6",1,"low","moderate",11,70.5150976909414,86.4212962962963,0.407972922838253
"7",1,"low","moderate",12,365.985790408526,67.7547386382189,2.70081324025713
"8",1,"low","moderate",13,57.0159857904085,27.1790424785426,1.04889614553974
"9",1,"low","moderate",15,90.7637655417407,39.2148233660845,1.15726347527347
"10",1,"low","moderate",18,55.595026642984,29.5093170038082,0.941991077526624
"11",1,"low","severe",21,138.010657193606,72.4955611180782,0.951855914107756
"12",1,"low","severe",24,41.2966252220249,32.6084790456469,0.633219126292519
"13",1,"low","severe",25,37.6554174067496,7.691948301156,2.44771649083305
"14",1,"low","severe",26,72.3801065719361,50.1208878837796,0.722055310949112
"15",1,"low","severe",28,75.6660746003552,34.6870800637787,1.09069536065343
"16",1,"moderate","low",31,134.547069271758,81.8564814814815,0.821847377487125
"17",1,"moderate","low",32,69.449378330373,20.5829752188258,1.68705878504028
"18",1,"moderate","low",33,75.8436944937833,45.97052,0.824916647601368
"19",1,"moderate","low",35,1.33214920071048,89.2824074074074,0.00746031183182431
"20",1,"moderate","low",38,158.880994671403,8.57563430298529,9.26351270693145
"21",1,"moderate","low",38,158.880994671403,29.555102815366,2.68787754967307
"22",1,"moderate","moderate",41,52.0426287744227,38.2146581192927,0.680924955706315
"23",1,"moderate","moderate",44,196.269982238011,39.8620137655289,2.46186737318998
"24",1,"moderate","moderate",45,11.8117229129663,34.5543462112968,0.170915155516742
"25",1,"moderate","moderate",46,93.8721136767318,89.1782407407407,0.526317366753383
"26",1,"moderate","moderate",48,225.222024866785,24.9084359837659,4.52099893011295
"27",1,"moderate","severe",51,66.2522202486679,112.814339886872,0.293633860354563
"28",1,"moderate","severe",54,357.104795737123,84.1226241053779,2.12252529884106
"29",1,"moderate","severe",57,95.6483126110124,51.5510362592439,0.927705042921045
"30",1,"moderate","severe",58,49.0230905861457,73.5391521569724,0.33331286225264
"31",1,"moderate","severe",59,181.882770870337,55.6518738999543,1.6341118288066
"32",1,"severe","low",61,144.227353463588,41.7120825155633,1.72884383571325
"33",1,"severe","low",64,47.9573712255773,64.0237383186483,0.374528046042015
"34",1,"severe","low",65,103.552397868561,28.9363623052254,1.78931264366049
"35",1,"severe","low",66,34.5470692717584,13.2361244791588,1.30502963031797
"36",1,"severe","low",68,77.797513321492,44.8780888028597,0.866765000435297
"37",1,"severe","moderate",71,47.6021314387211,17.9377347741095,1.32687131452707
"38",1,"severe","moderate",74,180.106571936057,32.1687653799923,2.79940137286208
"39",1,"severe","moderate",77,556.927175843695,86.7152777777778,3.21124022269128
"40",1,"severe","moderate",78,84.0142095914742,93.8595946614444,0.44755259115766
"41",1,"severe","moderate",79,28.5079928952043,44.6205738664494,0.319448971908446
"42",1,"severe","severe",81,66.785079928952,68.8839491818924,0.484765179131947
"43",1,"severe","severe",82,175.488454706927,16.1520450960689,5.43239118214317
"44",1,"severe","severe",83,34.8134991119005,42.7941196708571,0.406755640490586
"45",1,"severe","severe",85,177.08703374778,67.6521908537012,1.30880487027193
"46",1,"severe","severe",88,136.856127886323,92.3016873844544,0.741352253487473
"47",14,"low","low",2,44.7602131438721,14.809660895292,1.51118291837801
"48",14,"low","low",5,75.7548845470693,80.2411184339574,0.472045293146178
"49",14,"low","moderate",19,68.3836589698046,91.2153387286024,0.374847366259692
"50",14,"low","severe",22,40.4085257548846,18.3115197989838,1.10336351647685
"51",14,"low","severe",29,48.5790408525755,88.6867812245367,0.273879828435668
"52",14,"moderate","low",39,73.9786856127886,42.5867639766556,0.868564299148684
"53",14,"moderate","low",40,32.3268206039076,44.7745684009395,0.360995334610856
"54",14,"moderate","moderate",47,179.129662522202,33.1722217517144,2.69999495154322
"55",14,"moderate","severe",55,274.777975133215,65.5888881539308,2.09469913934459
"56",14,"moderate","severe",60,94.6714031971581,62.1108333889565,0.762116671372751
"57",14,"severe","low",62,122.380106571936,73.9093761929266,0.827906504395908
"58",14,"severe","low",67,53.8188277087034,21.1240901158489,1.27387327486178
"59",14,"severe","low",70,157.904085257549,39.303667546245,2.00877036566318
"60",14,"severe","moderate",72,31.2611012433392,28.6480769476901,0.545605579397534
"61",14,"severe","moderate",73,320.959147424512,38.6926200960639,4.14754992848316
"62",14,"severe","severe",84,38.98756660746,100.018992666198,0.194900816175867
"63",14,"severe","severe",86,366.51865008881,63.4762690555232,2.8870525595023
"64",14,"severe","severe",87,84.7246891651865,37.4674250358205,1.13064467446303
"65",14,"severe","severe",90,40.4973357015986,14.2396266206559,1.4219942973383
"66",NA,NA,NA,NA,-20.3374777975133,-1.05968791623748,9.59597513847445
